"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"YESBANK","EQ","08-Jun-2020","         28.85","         29.60","         32.00","         29.00","         30.65","         30.60","         30.73","   49257680","          1513458505.25","     140105","   20023636","         40.65"
"YESBANK","EQ","09-Jun-2020","         30.60","         31.00","         31.60","         29.70","         29.75","         29.85","         30.69","   23134391","           710087493.60","      92469","    9424068","         40.74"
"YESBANK","EQ","10-Jun-2020","         29.85","         30.35","         30.75","         30.00","         30.60","         30.40","         30.42","   15647848","           475980742.45","      37064","    6309165","         40.32"
"YESBANK","EQ","11-Jun-2020","         30.40","         30.60","         31.70","         29.60","         29.90","         29.80","         30.62","   20837420","           638084685.10","      54584","    8488207","         40.74"
"YESBANK","EQ","12-Jun-2020","         29.80","         28.00","         29.70","         28.00","         29.60","         29.50","         28.97","   12412232","           359529823.50","      50306","    5313857","         42.81"
"YESBANK","EQ","15-Jun-2020","         29.50","         30.00","         30.80","         28.80","         29.05","         29.00","         29.54","   13440399","           397085529.95","      38914","    6943619","         51.66"
"YESBANK","EQ","16-Jun-2020","         29.00","         29.50","         29.95","         27.55","         28.30","         28.40","         28.49","   22459083","           639856634.30","      51786","   10260211","         45.68"
"YESBANK","EQ","17-Jun-2020","         28.40","         27.35","         28.30","         27.05","         27.85","         27.65","         27.85","   12798061","           356469765.55","      76556","    6742976","         52.69"
"YESBANK","EQ","18-Jun-2020","         27.65","         27.70","         28.20","         27.40","         28.10","         28.00","         27.91","   11551012","           322349405.15","      27872","    6668767","         57.73"
"YESBANK","EQ","19-Jun-2020","         28.00","         28.20","         28.30","         27.90","         28.00","         28.00","         28.07","    9275438","           260315407.85","      25762","    5751119","         62.00"
"YESBANK","EQ","22-Jun-2020","         28.00","         28.10","         28.50","         27.35","         27.75","         27.75","         27.85","   19374480","           539653316.25","      74861","   11775903","         60.78"
"YESBANK","EQ","23-Jun-2020","         27.75","         27.80","         27.80","         27.40","         27.55","         27.55","         27.55","   16733550","           461075046.95","      42941","    6785910","         78.16"
"YESBANK","EQ","24-Jun-2020","         27.55","         27.80","         27.80","         27.05","         27.10","         27.05","         27.43","   14015494","           384378671.50","      38172","    9050134","         64.57"
"YESBANK","EQ","25-Jun-2020","         27.05","         27.05","         27.25","         26.55","         27.00","         27.00","         27.01","    9662127","           261007118.85","      26461","    4817923","         49.86"
"YESBANK","EQ","26-Jun-2020","         27.00","         27.20","         27.25","         26.60","         26.85","         26.75","         26.82","   12130891","           325305157.40","      34452","    8009621","         66.03"
"YESBANK","EQ","29-Jun-2020","         26.75","         26.80","         26.90","         26.00","         26.15","         26.10","         26.23","   10632406","           278849906.70","      30951","    7236036","         68.06"
"YESBANK","EQ","30-Jun-2020","         26.10","         26.50","         26.60","         25.50","         25.60","         25.60","         25.76","   16166021","           416448500.55","      39077","    9469650","         58.58"
"YESBANK","EQ","01-Jul-2020","         25.60","         25.75","         28.35","         25.00","         26.80","         26.90","         26.44","   27490306","           726904669.00","      56477","   10770147","         39.18"
"YESBANK","EQ","02-Jul-2020","         26.90","         27.30","         27.30","         26.05","         26.35","         26.25","         26.55","   15605957","           414300997.10","      38191","    8236507","         52.78"
"YESBANK","EQ","03-Jul-2020","         26.25","         26.50","         26.55","         25.80","         26.10","         26.15","         26.09","   14816009","           386479213.15","      41157","    6916898","         46.69"
"YESBANK","EQ","06-Jul-2020","         26.15","         26.40","         26.45","         25.95","         26.15","         26.05","         26.06","   12734350","           331872400.55","      39049","    7675136","         60.27"
"YESBANK","EQ","07-Jul-2020","         26.05","         26.05","         26.10","         25.50","         25.80","         25.75","         25.73","   19466396","           500774755.85","      55306","   11027512","         56.65"
"YESBANK","EQ","08-Jul-2020","         25.75","         25.20","         27.10","         24.00","         26.10","         26.05","         26.08","   33211696","           866195395.80","      73938","   13887600","         41.82"
"YESBANK","EQ","09-Jul-2020","         26.05","         27.50","         27.50","         26.20","         26.70","         26.65","         26.71","   42188239","          1126675772.85","      74939","   17921883","         42.48"
"YESBANK","EQ","10-Jul-2020","         26.65","         26.70","         26.75","         24.20","         25.60","         25.55","         25.52","   54312841","          1385856836.90","      99913","   21951406","         40.42"
"YESBANK","EQ","13-Jul-2020","         25.55","         22.05","         23.50","         21.00","         22.05","         22.05","         22.47","   70087262","          1574551964.85","     174461","   37330261","         53.26"
"YESBANK","EQ","14-Jul-2020","         22.05","         21.80","         21.80","         20.30","         20.90","         20.95","         20.89","   36853467","           769703543.50","      83277","   17666488","         47.94"
"YESBANK","EQ","15-Jul-2020","         20.95","         20.50","         22.00","         20.30","         20.50","         20.45","         20.96","   43266944","           906745145.30","      97745","   18972883","         43.85"
"YESBANK","EQ","16-Jul-2020","         20.45","         20.00","         20.25","         18.70","         19.15","         19.20","         19.06","   38231469","           728652689.15","      93991","   17098840","         44.72"
"YESBANK","EQ","17-Jul-2020","         19.20","         18.40","         20.40","         18.10","         19.90","         19.80","         19.31","   71216655","          1374963496.75","     119434","   21531742","         30.23"
